bin,label,words,freq_min,freq_max,bpe_tokens_per_word,spectral_tokens_per_word,delta
0,Top 10%,1988,5152,5584823,2.404930,2.425553,0.020624
1,10-20%,1988,2407,5151,2.997485,3.129779,0.132294
2,20-30%,1988,1370,2406,3.257042,3.401408,0.144366
3,30-40%,1988,812,1370,3.360161,3.536720,0.176559
4,40-50%,1989,505,812,3.476119,3.632479,0.156360
5,50-60%,1988,300,505,3.555835,3.727364,0.171529
6,60-70%,1988,163,299,3.718310,3.867203,0.148893
7,70-80%,1988,74,163,3.825956,3.985915,0.159960
8,80-90%,1988,16,74,4.101107,4.288732,0.187626
9,90-100%,1989,0,16,4.544495,4.698341,0.153846
