run_id,returncode,out_json,out_log,err_log,seconds,tau,alpha,sigma,beta,bpe_warmstart,bpe_bytes,bpe_words,bpe_tokens,bpe_bytes_per_token,bpe_tokens_per_byte,bpe_fertility,bpe_pcw,bpe_avg_token_chars,bpe_unique_tokens_used,spec_bytes,spec_words,spec_tokens,spec_bytes_per_token,spec_tokens_per_byte,spec_fertility,spec_pcw,spec_avg_token_chars,spec_unique_tokens_used,spec_nsl_vs_bpe
r0013_tau5_alpha0p4_sigma0p4_beta0p2_bpe100,0,sweeps/20260201_214318/json/r0013_tau5_alpha0p4_sigma0p4_beta0p2_bpe100.json,sweeps/20260201_214318/logs/r0013_tau5_alpha0p4_sigma0p4_beta0p2_bpe100.out,sweeps/20260201_214318/logs/r0013_tau5_alpha0p4_sigma0p4_beta0p2_bpe100.err,2133.011,5,0.4,0.4,0.2,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465124.000000,2.454801,0.407365,2.174635,0.465290,1.985144,1197.000000,1.122701
r0009_tau5_alpha0p4_sigma0p4_beta0p15_bpe100,0,sweeps/20260201_214318/json/r0009_tau5_alpha0p4_sigma0p4_beta0p15_bpe100.json,sweeps/20260201_214318/logs/r0009_tau5_alpha0p4_sigma0p4_beta0p15_bpe100.out,sweeps/20260201_214318/logs/r0009_tau5_alpha0p4_sigma0p4_beta0p15_bpe100.err,2150.246,5,0.4,0.4,0.15,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465289.000000,2.453931,0.407509,2.175407,0.465098,1.984440,1197.000000,1.123100
r0001_tau5_alpha0p4_sigma0p4_beta0p01_bpe100,0,sweeps/20260201_214318/json/r0001_tau5_alpha0p4_sigma0p4_beta0p01_bpe100.json,sweeps/20260201_214318/logs/r0001_tau5_alpha0p4_sigma0p4_beta0p01_bpe100.out,sweeps/20260201_214318/logs/r0001_tau5_alpha0p4_sigma0p4_beta0p01_bpe100.err,2159.606,5,0.4,0.4,0.01,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,466111.000000,2.449603,0.408229,2.179250,0.466323,1.980940,1196.000000,1.125084
r0005_tau5_alpha0p4_sigma0p4_beta0p1_bpe100,0,sweeps/20260201_214318/json/r0005_tau5_alpha0p4_sigma0p4_beta0p1_bpe100.json,sweeps/20260201_214318/logs/r0005_tau5_alpha0p4_sigma0p4_beta0p1_bpe100.out,sweeps/20260201_214318/logs/r0005_tau5_alpha0p4_sigma0p4_beta0p1_bpe100.err,2177.428,5,0.4,0.4,0.1,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465283.000000,2.453962,0.407504,2.175378,0.466449,1.984465,1197.000000,1.123085
r0010_tau5_alpha0p4_sigma0p4_beta0p15_bpe200,0,sweeps/20260201_214318/json/r0010_tau5_alpha0p4_sigma0p4_beta0p15_bpe200.json,sweeps/20260201_214318/logs/r0010_tau5_alpha0p4_sigma0p4_beta0p15_bpe200.out,sweeps/20260201_214318/logs/r0010_tau5_alpha0p4_sigma0p4_beta0p15_bpe200.err,2199.585,5,0.4,0.4,0.15,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441465.000000,2.586359,0.386644,2.064020,0.447276,2.091532,1191.000000,1.065594
r0006_tau5_alpha0p4_sigma0p4_beta0p1_bpe200,0,sweeps/20260201_214318/json/r0006_tau5_alpha0p4_sigma0p4_beta0p1_bpe200.json,sweeps/20260201_214318/logs/r0006_tau5_alpha0p4_sigma0p4_beta0p1_bpe200.out,sweeps/20260201_214318/logs/r0006_tau5_alpha0p4_sigma0p4_beta0p1_bpe200.err,2209.318,5,0.4,0.4,0.1,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441357.000000,2.586992,0.386549,2.063515,0.447173,2.092043,1193.000000,1.065333
r0002_tau5_alpha0p4_sigma0p4_beta0p01_bpe200,0,sweeps/20260201_214318/json/r0002_tau5_alpha0p4_sigma0p4_beta0p01_bpe200.json,sweeps/20260201_214318/logs/r0002_tau5_alpha0p4_sigma0p4_beta0p01_bpe200.out,sweeps/20260201_214318/logs/r0002_tau5_alpha0p4_sigma0p4_beta0p01_bpe200.err,2223.029,5,0.4,0.4,0.01,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441189.000000,2.587977,0.386402,2.062730,0.447855,2.092840,1191.000000,1.064928
r0014_tau5_alpha0p4_sigma0p4_beta0p2_bpe200,0,sweeps/20260201_214318/json/r0014_tau5_alpha0p4_sigma0p4_beta0p2_bpe200.json,sweeps/20260201_214318/logs/r0014_tau5_alpha0p4_sigma0p4_beta0p2_bpe200.out,sweeps/20260201_214318/logs/r0014_tau5_alpha0p4_sigma0p4_beta0p2_bpe200.err,2262.807,5,0.4,0.4,0.2,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441486.000000,2.586236,0.386662,2.064118,0.447299,2.091432,1191.000000,1.065645
r0015_tau5_alpha0p4_sigma0p4_beta0p2_bpe300,0,sweeps/20260201_214318/json/r0015_tau5_alpha0p4_sigma0p4_beta0p2_bpe300.json,sweeps/20260201_214318/logs/r0015_tau5_alpha0p4_sigma0p4_beta0p2_bpe300.out,sweeps/20260201_214318/logs/r0015_tau5_alpha0p4_sigma0p4_beta0p2_bpe300.err,2271.459,5,0.4,0.4,0.2,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432398.000000,2.640593,0.378703,2.021628,0.439716,2.135389,1199.000000,1.043709
r0007_tau5_alpha0p4_sigma0p4_beta0p1_bpe300,0,sweeps/20260201_214318/json/r0007_tau5_alpha0p4_sigma0p4_beta0p1_bpe300.json,sweeps/20260201_214318/logs/r0007_tau5_alpha0p4_sigma0p4_beta0p1_bpe300.out,sweeps/20260201_214318/logs/r0007_tau5_alpha0p4_sigma0p4_beta0p1_bpe300.err,2280.734,5,0.4,0.4,0.1,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432579.000000,2.639488,0.378861,2.022475,0.440202,2.134496,1200.000000,1.044145
